Last Name,First Name,Middle Initial,Institution,Associate/Full Member,PubMed URL,Lab Website,nih_profile_id,reporter_match_note
Abbas,Abul,,UCSF,Member,https://pubmed.ncbi.nlm.nih.gov/?term=Abbas+A%5Bau%5D,https://profiles.ucsf.edu/abul.abbas,1874447,ok
Aguilar,Oscar,,UCSF,Member,https://www.ncbi.nlm.nih.gov/myncbi/oscar.aguilar%20alfaro.1/bibliography/public/,https://aguilarlab.ucsf.edu/contact-us,,not_found
Akassoglou,Katerina ,,UCSF,Member,https://pubmed.ncbi.nlm.nih.gov/?term=akassoglou,http://akassogloulab.org,8033726,name_search_national_fallback
Akhurst,Rosemary,,UCSF,Member,https://www.ncbi.nlm.nih.gov/myncbi/1XoXpVdSYyIQq/bibliography/public/,https://cancer.ucsf.edu/people/akhurst.rosemary,6100515,ok
Alexanian,Michael,,UCSF,Member,https://pubmed.ncbi.nlm.nih.gov/?term=Michael+Alexanian&sort=date,https://michaelalexanianlab.com/,78734691,name_search_national_fallback
Allen,Christopher,,UCSF,Member,https://pubmed.ncbi.nlm.nih.gov/?term=christopher%20d%20c%20allen&sort=date,https://bms.ucsf.edu/people/christopher-allen-phd,9823629,ok
Anderson,Mark,,UCSF,Member,https://www.ncbi.nlm.nih.gov/sites/myncbi/mark.anderson.1/collections/47630849/public/,https://andersonlab.ucsf.edu,1928581,ok
Andino,Raul,,UCSF,Member,https://pubmed.ncbi.nlm.nih.gov/?term=Andino+raul,https://andino.ucsf.edu/,1858796,ok
Ansel,Karl Mark,,UCSF,Leadership Committee,https://www.ncbi.nlm.nih.gov/pubmed/?term=Ansel+KM,https://ansel.ucsf.edu,9344360,alternate_first_name_variant
Arnold,Thomas,,UCSF,Member,https://pubmed.ncbi.nlm.nih.gov/?term=Arnold+T%5Bau%5D,https://arnoldlab.ucsf.edu/,10543207,ok
Ashouri-Sinha,Judith,,UCSF,Member,http://www.ncbi.nlm.nih.gov/sites/myncbi/judith.ashouri.1/bibliography/48231084/public/?sort=date&direction=descending,https://ashourilab.ucsf.edu/,,not_found
Baranzini,Sergio,,UCSF,Member,https://www.ncbi.nlm.nih.gov/myncbi/sergio.baranzini.2/bibliography/public/,https://baranzinilab.ucsf.edu,2089750,ok
Barcellos-Hoff,Mary Helen,,UCSF,Member,https://www.ncbi.nlm.nih.gov/myncbi/mary%20helen.barcellos-hoff.1/bibliography/public/,https://cancer.ucsf.edu/people/profiles/barcellos-hoff_mary.6915,1940223,alternate_first_name_variant
Baron,Jody,,UCSF,Leadership Committee,http://www.ncbi.nlm.nih.gov/myncbi/browse/collection/46170360/?sort=date&direction=ascending,https://profiles.ucsf.edu/jody.baron,1930339,ok
Betancur,Paola,,UCSF,Member,https://www.ncbi.nlm.nih.gov/myncbi/1h7UdTQOmzzAZg/bibliography/public/,https://radonc.ucsf.edu/paola-betancur,10891598,ok
Bhattacharya,Mallar,,UCSF,Member,https://www.ncbi.nlm.nih.gov/myncbi/1hyab8c8hE3A_/bibliography/public/,https://bhattacharyalab.ucsf.edu,7674348,ok
Blelloch,Robert,,UCSF,Member,https://pubmed.ncbi.nlm.nih.gov/?term=blelloch+r&sort=date,https://blellochlab.ucsf.edu/,1952829,ok
Bluestone,Jeffrey,,UCSF,Member,https://pubmed.ncbi.nlm.nih.gov/?term=Bluestone+J%5Bau%5D,https://bluestone.ucsf.edu,1877926,"ambiguous_profile_ids:{1877926: 88, 11125944: 7}"
Bondy-Demony,Joseph,,UCSF,Member,https://pubmed.ncbi.nlm.nih.gov/?term=bondy-denomy&sort=pubdate&size=100,https://bondydenomylab.com/,,not_found
Bruno,Peter,,UCSF,Leadership Committee,https://www.ncbi.nlm.nih.gov/myncbi/1JaA8rAqda557/bibliography/public/,https://brunolabucsf.com/,10661907,ok
Budzik,Jonathan,,UCSF,Member,https://www.ncbi.nlm.nih.gov/myncbi/1XYw9lH5WtU/bibliography/public/,https://medicine.ucsf.edu/people/jonathan-budzik,10377810,ok
Carnevale,Julia,,UCSF,Member,https://pubmed.ncbi.nlm.nih.gov/?term=Carnevale+Julia[Author],https://carnevale-lab.org/,12519251,ok
Chapman,Harold,,UCSF,Member,http://www.ncbi.nlm.nih.gov/sites/myncbi/harold.chapman.1/bibliograpahy/40691690/public/?sort=date&direction=ascending,https://profiles.ucsf.edu/harold.chapman,,not_found
Chan,Vincent,,UCSF,Leadership Committee,,https://ocr.ucsf.edu/,,not_found
Cho,Nam Woo,,UCSF,Member,https://pubmed.ncbi.nlm.nih.gov/?term=nam+woo+cho&sort=date,https://cholab.ucsf.edu/,1955985,"name_search_national_fallback;alternate_first_name_variant; grant_org_differs_from_csv; ambiguous_profile_ids:{7354307: 14, 15344193: 1, 1955985: 26}"
Cohen,Jarish,,UCSF,Member,https://www.ncbi.nlm.nih.gov/myncbi/jarish.cohen.1/bibliography/public/,https://profiles.ucsf.edu/jarish.cohen,16207260,ok
Combes,Alexis,,UCSF,Leadership Committee,https://www.ncbi.nlm.nih.gov/myncbi/alexis.combes.1/bibliography/public/,https://colabs.ucsf.edu/disease-to-biology-colab,,not_found
Crouch,Betsy,,UCSF,Member,https://www.ncbi.nlm.nih.gov/myncbi/elizabeth.crouch.1/bibliography/public/,https://crouchlab.ucsf.edu/,,not_found
Cyster,Jason,,UCSF,Leadership Committee,https://pubmed.ncbi.nlm.nih.gov/?term=cyster+jg&sort=date,https://cysterlab.ucsf.edu/,1969603,ok
Debnath,Jay,,UCSF,Member,https://www.ncbi.nlm.nih.gov/myncbi/jayanta.debnath.1/bibliography/public/,https://debnathlab.ucsf.edu,2052828,ok
DeFranco,Anthony,,UCSF,Member,https://pubmed.ncbi.nlm.nih.gov/?term=DeFranco+A%5Bau%5D,https://profiles.ucsf.edu/anthony.defranco,6476370,ok
Deuse,Tobias,,UCSF,Member,https://pubmed.ncbi.nlm.nih.gov/?term=deuse+t,https://tsilab.ucsf.edu,14546654,ok
Dumesic,Phillip,,UCSF,Member,https://pubmed.ncbi.nlm.nih.gov/?term=dumesic-p&sort=date,https://diabetes.ucsf.edu/lab/dumesic-lab,9322256,ok
Engel,Joanne,,UCSF,Member,https://pubmed.ncbi.nlm.nih.gov/?term=joanne%20engel&sort=pubdate&page=7,https://profiles.ucsf.edu/joanne.engel,1867800,ok
Erle,David,,UCSF,Member,https://www.ncbi.nlm.nih.gov/sites/myncbi/david.erle.1/bibliography/40554417/public/?sort=date&direction=descending,https://profiles.ucsf.edu/david.erle,1881371,ok
Erlebacher,Adrian,,UCSF,Leadership Committee,http://www.ncbi.nlm.nih.gov/sites/myncbi/1Nyxzq-0qFOQm/bibliography/47674008/public/?sort=date&direction=descending,https://bms.ucsf.edu/people/adrian-erlebacher-md-phd,1952655,ok
Ernst,Joel,,UCSF,Leadership Committee,https://www.ncbi.nlm.nih.gov/myncbi/joel.ernst.2/bibliography/public/,https://experimentalmedicine.ucsf.edu/laboratories/ernst-lab,1860668,"ambiguous_profile_ids:{1860668: 49, 6506922: 1}"
Eyquem,Justin,,UCSF,Member,https://www.ncbi.nlm.nih.gov/myncbi/1ZmvAV_nFn85En/bibliography/public/,https://www.eyquemlab.org/,,not_found
Fahy,John,,UCSF,Member,https://pubmed.ncbi.nlm.nih.gov/?term=Fahy+J%5Bau%5D,https://scvrb-core.ucsf.edu/~fahy/,1885483,ok
Fassett,Marlys,,UCSF,Member,https://www.ncbi.nlm.nih.gov/myncbi/marlys.fassett.1/bibliography/public/,https://fassettlab.ucsf.edu/,7344485,ok
Feeney,Margaret,,UCSF,Member,https://pubmed.ncbi.nlm.nih.gov/?term=feeney+m+and+%28hiv+or+cmv+or+zikv+or+malaria+or+odorizzi%29&sort=date,https://www.feeneylabucsf.com,6761391,ok
Feng,Sandy,,UCSF,Member,https://www.ncbi.nlm.nih.gov/myncbi/sandy.feng.2/bibliography/public/,https://profiles.ucsf.edu/sandy.feng,8707995,ok
Fidler,Trevor,,UCSF,Member,https://www.ncbi.nlm.nih.gov/myncbi/trevor.fidler.1/bibliography/public/,https://trevorfidler.ucsf.edu/fidler-lab,12079320,ok
Fragiadakis,Gabi,,UCSF,Member,https://pubmed.ncbi.nlm.nih.gov/?term=Fragiadakis+GK&cauthor_id=39677657,https://dscolab.ucsf.edu/,,not_found
Gardner,James,,UCSF,Leadership Committee,https://www.ncbi.nlm.nih.gov/myncbi/james.gardner.2/bibliography/public/,https://diabetes.ucsf.edu/lab/gardner-lab,15992367,ok
Gaw,Stephanie,,UCSF,Member,https://www.ncbi.nlm.nih.gov/myncbi/stephanie.gaw.1/bibliography/public/,https://gawlab.ucsf.edu,15405669,ok
Goga,Andrei,,UCSF,Member,https://pubmed.ncbi.nlm.nih.gov/collections/62337589/?sort=pubdate,https://www.oncogenes.net/,1865459,ok
Goldberg,Emily,,UCSF,Member,https://www.ncbi.nlm.nih.gov/myncbi/1BQFoz6Nz9Hsbo/bibliography/public/,https://goldberglab.ucsf.edu/,14938925,ok
Graham,Brian,,UCSF,Member,http://www.ncbi.nlm.nih.gov/sites/myncbi/1X_bfmlnEgT59/bibliography/48905278/public/?sort=date&direction=ascending,https://grahamlab.ucsf.edu,9658178,ok
Greenland,John ,,UCSF,Member,https://www.ncbi.nlm.nih.gov/myncbi/1-_ZjBEfK8R5X/bibliography/public/,https://greenlandlab.ucsf.edu/theylcome,7390001,ok
He,Peng,,UCSF,Member,https://www.ncbi.nlm.nih.gov/myncbi/peng.he.3/bibliography/public/,https://peng-he-lab.github.io/,1860197,"name_search_national_fallback; grant_org_differs_from_csv; ambiguous_profile_ids:{8734244: 22, 12547590: 3, 12659701: 13, 1860197: 53, 11128298: 5, 3373315: 1}"
Hellman,Judith,,UCSF,Member,https://pubmed.ncbi.nlm.nih.gov/?term=Hellman+J%5Bau%5D,https://profiles.ucsf.edu/judith.hellman,2093754,ok
Hollenbach,Jill,,UCSF,Leadership Committee,https://pubmed.ncbi.nlm.nih.gov/?term=Hollenbach+J%5Bau%5D,https://hollenbachlab.ucsf.edu/,1902340,ok
Hsiung,Chris,,UCSF,Member,https://www.ncbi.nlm.nih.gov/myncbi/chris.hsiung.2/bibliography/public/,https://www.hsiunglab.org/team,10222856,ok
Hunt,Peter,,UCSF,Member,https://www.ncbi.nlm.nih.gov/myncbi/peter.hunt.1/bibliography/public/,https://experimentalmedicine.ucsf.edu/laboratories/hunt-lab-0,8089250,ok
Javid,Babak,,UCSF,Member,https://www.ncbi.nlm.nih.gov/myncbi/babak.javid.1/bibliography/public/,https://experimentalmedicine.ucsf.edu/people/babak-javid-0,10638314,ok
Kamber,Roarke,,UCSF,Member,https://www.ncbi.nlm.nih.gov/myncbi/roarke.kamber.1/bibliography/public/,https://www.kamberlab.com/,15235393,ok
Keenan,Bridget,,UCSF,Member,https://www.ncbi.nlm.nih.gov/myncbi/bridget.keenan.1/bibliography/public/,https://profiles.ucsf.edu/bridget.keenan,9284096,ok
Kotas,Maya,,UCSF,Member,https://www.ncbi.nlm.nih.gov/myncbi/1nE-cp1KGPFAk/bibliography/public/,https://kotaslab.ucsf.edu/,8473065,ok
Krummel,Matthew,,UCSF,Member,https://pubmed.ncbi.nlm.nih.gov/?term=Krummel%2C+MF&sort=date,http://krummellab.com/,1929409,ok
Lanier,Lewis,,UCSF,Member,https://pubmed.ncbi.nlm.nih.gov/?term=lanier+ll,https://lanierlab.ucsf.edu/research,1941354,"ambiguous_profile_ids:{1941354: 66, 9241641: 5}"
Laszik,Zoltan,,UCSF,Member,https://www.ncbi.nlm.nih.gov/myncbi/zoltan.laszik.1/bibliography/public/,https://profiles.ucsf.edu/zoltan.laszik,9861313,ok
Lee,James,,UCSF,Leadership Committee,https://orcid.org/0000-0002-1762-1677,https://jamesleelab.ucsf.edu/,3612730,"ambiguous_profile_ids:{3612730: 5, 3617112: 3}"
Liao,Wilson,,UCSF,Member,https://www.ncbi.nlm.nih.gov/myncbi/wilson.liao.1/bibliography/public/,https://liaolab.ucsf.edu/,8837330,ok
Locksley,Richard,,UCSF,Member,https://www.ncbi.nlm.nih.gov/myncbi/richard.locksley.1/bibliography/public/,https://sabre.ucsf.edu/Richard-M-Locksley,1896961,ok
Looney,Mark,,UCSF,Member,https://pubmed.ncbi.nlm.nih.gov/?term=looney+mr&sort=date,https://looneylab.ucsf.edu,2084229,ok
Lowell,Clifford,,UCSF,Member, https://www.ncbi.nlm.nih.gov/myncbi/1PgZ2XDJtHXQk/bibliography/public/,https://profiles.ucsf.edu/clifford.lowell,1901514,"ambiguous_profile_ids:{1901514: 69, 3216636: 2}"
Lu,R. Olivia,,UCSF,Member,https://pubmed.ncbi.nlm.nih.gov/?term=rongze+lu&sort=date,https://lulab.ucsf.edu/people/rongze-olivia-lu,,name_search_national_fallback;alternate_first_name_variant; no_matching_pi_in_projects; none
Lynch,Susan,,UCSF,Member,https://pubmed.ncbi.nlm.nih.gov/?term=lynch+sv&sort=date,https://bms.ucsf.edu/people/susan-lynch-phd,8900843,ok
Ma,Averil,,UCSF,Member,https://pubmed.ncbi.nlm.nih.gov/?term=Averil+Ma,https://profiles.ucsf.edu/averil.ma#narrative,1872380,ok
MacKenzie,Tippi,,UCSF,Leadership Committee,https://pubmed.ncbi.nlm.nih.gov/?term=mackenzie+tc&sort=pubdate,https://mackenzielab.ucsf.edu/,9196466,ok
Maker,Ajay,,UCSF,Member,https://www.ncbi.nlm.nih.gov/myncbi/ajay.maker.1/bibliography/public/,https://surgery.ucsf.edu/faculty/surgical-oncology/ajay-v-maker-md-facs-fsso.aspx#researchsummary,9849504,ok
Marson,Alex,,UCSF,Member,https://www.ncbi.nlm.nih.gov/myncbi/141phEBVrFPAI/bibliography/public/,https://marsonlab.ucsf.edu/,8358199,ok
Matloubian,Mehrdad,,UCSF,Leadership Committee,http://www.ncbi.nlm.nih.gov/sites/myncbi/mehrdad.matloubian.1/bibliograpahy/41150173/public/?sort=date&dir ection=descending,https://profiles.ucsf.edu/mehrdad.matloubian,1924173,ok
McManus,Michael,,UCSF,Member,https://scholar.google.com/citations?user=dsHhXogAAAAJ&hl=en,https://mcmanuslab.ucsf.edu/,7015832,"ambiguous_profile_ids:{7015832: 103, 8391038: 1}"
Mengwasser,Kristen,,UCSF,Associate,https://www.ncbi.nlm.nih.gov/myncbi/1NIJjhbcdldc7A/bibliography/public/,https://profiles.ucsf.edu/kristen.mengwasser,,not_found
Minnie,Simone,,UCSF,Member,https://www.ncbi.nlm.nih.gov/myncbi/simone.minnie.3/bibliography/public/ ,https://www.minnielab.com/,,not_found
Molofsky,Ari,,UCSF,Member,https://www.ncbi.nlm.nih.gov/myncbi/14AY37wr6bCAj/bibliography/public/,http://arimolofskylab.org,6438582,ok
Momen-Heravi,Fatemeh,,UCSF,Member,https://www.ncbi.nlm.nih.gov/sites/myncbi/1ZmaAV_rFk6wGp/bibliography/57713650/public/?sort=date&direction=descending,https://www.heravilab.com/,,not_found
Moslehi,Javid,,UCSF,Member,https://pubmed.ncbi.nlm.nih.gov/?term=Moslehi+J%5Bau%5D,https://profiles.ucsf.edu/javid.moslehi,9453425,ok
Nayak,Renuka,,UCSF,Associate,https://www.ncbi.nlm.nih.gov/sites/myncbi/renuka.nayak.1/bibliography/40038472/public/?sort=date&direction=ascending,https://nayak.ucsf.edu/,9182663,ok
Nicolas Avila,Jose Angel,,UCSF,Member,https://pubmed.ncbi.nlm.nih.gov/?term=Nicol%C3%A1s-%C3%81vila+JA&cauthor_id=32937105,https://microbiology.ucsf.edu/content/jose-angel-nicolas-avila-phd,,not_found
Nishimura,Stephen,,UCSF,Associate,https://www.ncbi.nlm.nih.gov/sites/myncbi/stephen.nishimura.1/bibliography/41155603/public/?sort=date&direction=ascending,https://profiles.ucsf.edu/stephen.nishimura,1888628,ok
Norris,Philip,,UCSF,Member,http://www.ncbi.nlm.nih.gov/sites/myncbi/philip.norris.1/bibliography/40833634/public/?sort=date&direction=descending ,https://research.vitalant.org/people/norris,2053846,"name_search_national_fallback; grant_org_differs_from_csv; ambiguous_profile_ids:{2053846: 15, 78769897: 1}"
Ott,Melanie ,,UCSF,Member,https://pubmed.ncbi.nlm.nih.gov/?term=melanie+ott,http://www.ottlab.ucsf.edu,7553855,ok
Pelka,Karin,,UCSF,Member,https://www.ncbi.nlm.nih.gov/myncbi/1ZCToYqf56rA-/bibliography/public/,https://pelkalab.org/ ,14900276,name_search_national_fallback
Peng,Tien ,,UCSF,Member,https://www.ncbi.nlm.nih.gov/myncbi/tien.peng.1/bibliography/public/,https://penglab.squarespace.com/,10828294,ok
Perera,Rushika,,UCSF,Member,https://pubmed.ncbi.nlm.nih.gov/?term=Perera+R%5Bau%5D,http://www.rushikapereralab.com,10226096,ok
Peterlin,Matija,,UCSF,Member,https://pubmed.ncbi.nlm.nih.gov/?term=Peterlin+M%5Bau%5D,https://bmplab.ucsf.edu,,not_found
Phillips,Angela,,UCSF,Member,https://www.ncbi.nlm.nih.gov/myncbi/1vIkymvY5StEgy/bibliography/public/,https://aphillipslab.ucsf.edu/,12605548,ok
Phillips,Joanna,,UCSF,Member,https://www.ncbi.nlm.nih.gov/myncbi/joanna.phillips.1/bibliography/public/,https://phillipslab.ucsf.edu/,9209150,ok
Pillai,Satish,,UCSF,Member,http://www.ncbi.nlm.nih.gov/myncbi/browse/collection/40640426/?sort=date&direction=descending,"https://research.vitalant.org/Investigators/Individual-Investigators/SATISH-K-PILLAI,-PHD.aspx",9037704,ok
Pleasure,Samuel,,UCSF,Member,https://pubmed.ncbi.nlm.nih.gov/?term=pleasure+sj&sort=date,https://pleasurelab.ucsf.edu,7903497,ok
Pluvinage,John,,UCSF,Member,https://pubmed.ncbi.nlm.nih.gov/?term=john+pluvinage%5BAuthor%5D&sort=date,https://arcinstitute.org/labs/pluvinagelab,12408018,ok
Prakash,Arun,,UCSF,Associate,https://www.ncbi.nlm.nih.gov/myncbi/arun.prakash%20budde.1/bibliography/public/,https://anesthesia.ucsf.edu/research-group/prakash-lab#about,11402659,ok
Puck,Jennifer,,UCSF,Associate,http://www.ncbi.nlm.nih.gov/sites/myncbi/jennifer.puck.1/bibliography/40218991/public/?sort=date&direction=descending,http://cancer.ucsf.edu/people/profiles/puck_jennifer.3605,8839262,ok
Raffai,Robert,,UCSF,Member,https://scholar.google.co.in/citations?user=5iwvtqUAAAAJ&hl=en,"https://surgery.ucsf.edu/faculty/vascular-surgery/robert-raffai,-phd.aspx",8722245,name_search_national_fallback
Raja,Rajalingam,,UCSF,Member,https://pubmed.ncbi.nlm.nih.gov/?term=Rajalingam+R+and+HLA+and%2For+Rajalingam+R+and+KIR+and%2For+Rajalingam+R+and+UCLA+and%2For+Rajalingam+R+and+UCSF&sort=date,https://itl.ucsf.edu/,,not_found
Rajkovic,Aleks,,UCSF,Member,https://pubmed.ncbi.nlm.nih.gov/?term=Rajkovic+A%5Bau%5D,http://cancer.ucsf.edu/people/profiles/rajkovic_aleksandar.9753,1929167,ok
Ricardo-Gonzalez,Roberto,,UCSF,Member,https://www.ncbi.nlm.nih.gov/myncbi/1f9mtqh86yssHX/bibliography/public/,https://www.rrglab.com/,8182012,ok
Roan,Nadia,,UCSF,Member,https://www.ncbi.nlm.nih.gov/myncbi/1JCea3DfJjAAH/bibliography/public/,https://roanlab.ucsf.edu/,9286260,ok
Roose,Jeroen,,UCSF,Leadership Committee,http://www.ncbi.nlm.nih.gov/sites/myncbi/1dAcMxgwddtkG/bibliography/44066965/public/?sort=date&direction=ascending ,http://rooselab.ucsf.edu/,8021013,ok
Rosen,Steven,,UCSF,Member,https://pubmed.ncbi.nlm.nih.gov/?term=Rosen+S%5Bau%5D,https://profiles.ucsf.edu/steven.rosen,1866145,ok
Rosenblum,Mike ,,UCSF,Member,https://pubmed.ncbi.nlm.nih.gov/?term=rosenblum+md&sort=date,https://rosenblumlab.ucsf.edu,9160454,alternate_first_name_variant
Roybal,Kole,,UCSF,Member,https://www.ncbi.nlm.nih.gov/myncbi/browse/collection/49407895/?sort=date&direction=ascending,https://www.roybal-lab.org,9311016,ok
Rutishauser,Rachel,,UCSF,Member,https://www.ncbi.nlm.nih.gov/myncbi/1paysdChfook7/bibliography/public,https://cfar.ucsf.edu/people/rachel-rutishauser,14140796,ok
Sarwal,Minnie,,UCSF,Member,https://pubmed.ncbi.nlm.nih.gov/?term=Sarwal+M%5Bau%5D,https://sarwallab.ucsf.edu,7748143,ok
Scharschmidt,Tiffany,,UCSF,Leadership Committee,https://www.ncbi.nlm.nih.gov/myncbi/tiffany.scharschmidt.1/bibliography/public/,https://scharschmidtlab.ucsf.edu,10849142,ok
Schjerven,Hilde,,UCSF,Member,https://pubmed.ncbi.nlm.nih.gov/?term=Schjerven+h%5Bau%5D&sort=date,https://schjervenlab.ucsf.edu,10214012,ok
Sheppard,Dean,,UCSF,Member,https://pubmed.ncbi.nlm.nih.gov/?term=Sheppard%20D&sort=date,https://cancer.ucsf.edu/people/profiles/sheppard_dean.3662,1873297,ok
Shum,Anthony,,UCSF,Member,https://www.ncbi.nlm.nih.gov/myncbi/1JiQ7rvK8sMk1/bibliography/public/,http://shumlab.ucsf.edu/index.html,9481660,ok
Sil,Anita,,UCSF,Member,https://www.ncbi.nlm.nih.gov/myncbi/anita.sil.1/bibliography/public/,http://histo.ucsf.edu/sillab/index.htm,6615512,ok
Sirota,Marina,,UCSF,Member,http://www.ncbi.nlm.nih.gov/pubmed/?term=marina+sirota ,http://sirotalab.ucsf.edu/#about,9254524,ok
Spitzer,Matthew,,UCSF,Leadership Committee,https://pubmed.ncbi.nlm.nih.gov/?term=Spitzer+MH&cauthor_id=36931243,https://spitzerlab.ucsf.edu/home,12022820,ok
Suliman,Sara,,UCSF,Leadership Committee,https://www.ncbi.nlm.nih.gov/myncbi/1h3e0rmA7jRQp/bibliography/public/,https://experimentalmedicine.ucsf.edu/laboratories/suliman-lab,14892384,ok
Tana,Michele,,UCSF,Member,https://pubmed.ncbi.nlm.nih.gov/?term=Tana+M%5Bau%5D,https://posuld.ucsf.edu/,15344824,ok
Tang,Qizhi,,UCSF,Member,https://www.ncbi.nlm.nih.gov/myncbi/10EnwYcp88bAi/bibliography/public/,https://tanglab.ucsf.edu,6061702,ok
Tenthorey,Jeannette,,UCSF,Member,https://www.ncbi.nlm.nih.gov/myncbi/10_SwNIn3chQM/bibliography/public/,https://tenthoreylab.ucsf.edu/,14091977,ok
Tlsty,Thea,,UCSF,Member,https://www.ncbi.nlm.nih.gov/myncbi/thea.tlsty.1/bibliography/public/,https://tlstylab.ucsf.edu,1863933,ok
Turnbaugh,Peter,,UCSF,Leadership Committee,https://www.ncbi.nlm.nih.gov/myncbi/1F5oPT00887AD/bibliography/public/,https://turnbaughlab.ucsf.edu,11617241,ok
Wabl,Matthias,,UCSF,Member,https://pubmed.ncbi.nlm.nih.gov/?term=Wabl+M%5Bau%5D,https://www.austrianni.com/about/#close,1861940,ok
Waterfield,Michael,,UCSF,Member, https://www.ncbi.nlm.nih.gov/myncbi/12gdu-sylKIQI/bibliography/public/,https://waterfieldlab.ucsf.edu/,10429023,ok
Weiss,Art,,UCSF,Member,https://pubmed.ncbi.nlm.nih.gov/?term=Weiss+A%5Bau%5D,https://artweisslab.ucsf.edu,1881581,ok
Wiita,Arun,,UCSF,Member,https://pubmed.ncbi.nlm.nih.gov/?term=wiita+a,https://wiitalab.ucsf.edu/,8828049,ok
Wilder,Catera,,UCSF,Member,https://www.ncbi.nlm.nih.gov/myncbi/catera.wilder.1/bibliography/public/,https://pharm.ucsf.edu/wilder,,not_found
Wilson,Michael,,UCSF,Member,https://www.ncbi.nlm.nih.gov/myncbi/michael.wilson.4/bibliography/public/,https://wilsonlab.ucsf.edu,11930855,ok
Woodruff,Prescott,,UCSF,Member,https://www.ncbi.nlm.nih.gov/myncbi/prescott.woodruff.1/bibliography/public/,https://woodrufflab.ucsf.edu,2053807,ok
Young,Jacob,,UCSF,Member,https://www.ncbi.nlm.nih.gov/myncbi/jacob.young.1/bibliography/public/,https://younglab.ucsf.edu/,,not_found
Zamvil,Scott,,UCSF,Member,https://pubmed.ncbi.nlm.nih.gov/?term=Zamvil+S%5Bau%5D,https://neuroimmunol.ucsf.edu/principal-investigator,1893245,ok
Zikherman,Julie,,UCSF,Member,https://www.ncbi.nlm.nih.gov/sites/myncbi/julie.zikherman.1/bibliography/43756900/public/?sort=date&direction=descending,https://zikhermanlab.ucsf.edu/,1890693,ok